,num,ssim_score,ssim_array
0,26,0.9999798891653172,"[[0.9999917  0.9999918  0.9999928  ... 1.         1.         1.        ]
 [0.9999917  0.9999917  0.9999927  ... 1.         1.         1.        ]
 [0.99999213 0.99999225 0.9999932  ... 1.         1.         1.        ]
 ...
 [0.9999998  0.99999905 0.99999875 ... 0.9999992  0.9999992  0.9999992 ]
 [0.9999998  0.99999905 0.99999875 ... 0.9999992  0.9999992  0.9999992 ]
 [0.9999998  0.99999905 0.99999875 ... 0.9999992  0.9999992  0.9999992 ]]"
0,27,0.9790218865602569,"[[0.9999622  0.99996233 0.9999658  ... 0.9981004  0.9980029  0.9979978 ]
 [0.9999618  0.99996173 0.9999648  ... 0.99810356 0.9980064  0.9980017 ]
 [0.9999631  0.99996287 0.9999657  ... 0.9982493  0.9981689  0.9981668 ]
 ...
 [0.999999   0.9999957  0.9999947  ... 0.9993794  0.99935365 0.99934214]
 [0.999999   0.9999957  0.99999464 ... 0.9993448  0.999316   0.9993037 ]
 [0.999999   0.9999957  0.99999464 ... 0.99934226 0.99931306 0.9993006 ]]"
0,28,0.9963284808947156,"[[0.9995864  0.99959177 0.9996452  ... 1.         1.         1.        ]
 [0.9995849  0.9995888  0.9996405  ... 1.         1.         1.        ]
 [0.99960643 0.9996101  0.9996579  ... 1.         1.         1.        ]
 ...
 [0.9999955  0.9999868  0.9999837  ... 0.99973375 0.99973345 0.99973553]
 [0.9999955  0.99998665 0.99998367 ... 0.99971974 0.99971884 0.99972093]
 [0.9999955  0.99998665 0.99998367 ... 0.9997151  0.99971414 0.99971616]]"
0,29,0.9879945514078708,"[[0.9982217  0.99822646 0.9984064  ... 0.9999535  0.99995166 0.9999516 ]
 [0.99822795 0.99822783 0.99839634 ... 0.9999535  0.9999518  0.9999516 ]
 [0.99834496 0.9983449  0.99849474 ... 0.9999557  0.9999541  0.9999541 ]
 ...
 [0.9997873  0.9997229  0.9997142  ... 0.9999562  0.9999553  0.9999552 ]
 [0.99978125 0.99971586 0.99970716 ... 0.99995494 0.999954   0.9999538 ]
 [0.9997819  0.99971676 0.99970824 ... 0.99995476 0.9999538  0.9999537 ]]"
0,30,0.9967073594246659,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
0,31,0.9914768722384618,"[[0.9998959  0.9998957  0.99990535 ... 1.         1.         1.        ]
 [0.9998958  0.99989533 0.99990463 ... 1.         1.         1.        ]
 [0.99989945 0.999899   0.99990785 ... 1.         1.         1.        ]
 ...
 [0.9999998  0.99999905 0.99999887 ... 0.99989337 0.999892   0.999892  ]
 [0.9999998  0.99999905 0.99999887 ... 0.9998893  0.99988776 0.99988776]
 [0.9999998  0.99999905 0.99999887 ... 0.9998886  0.99988693 0.99988693]]"
0,32,0.9569859334828902,"[[1.         1.         1.         ... 0.99999845 0.9999985  0.9999985 ]
 [1.         1.         1.         ... 0.99999845 0.9999985  0.9999985 ]
 [1.         1.         1.         ... 0.99999845 0.99999857 0.99999857]
 ...
 [1.         1.         1.         ... 1.         1.         1.        ]
 [1.         1.         1.         ... 1.         1.         1.        ]
 [1.         1.         1.         ... 1.         1.         1.        ]]"
0,33,0.9858323825659435,"[[0.9999993  0.9999993  0.9999993  ... 1.         1.         1.        ]
 [0.9999993  0.9999993  0.9999993  ... 1.         1.         1.        ]
 [0.9999993  0.9999993  0.9999993  ... 1.         1.         1.        ]
 ...
 [1.         0.99999994 0.9999998  ... 0.9999952  0.9999951  0.9999951 ]
 [1.         0.99999994 0.9999998  ... 0.99999505 0.99999493 0.99999493]
 [1.         0.99999994 0.9999998  ... 0.99999505 0.99999493 0.99999493]]"
0,34,0.9854354318587079,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
0,35,0.8653985247687134,"[[1.        1.        1.        ... 0.9999993 0.9999993 0.9999993]
 [1.        1.        1.        ... 0.9999993 0.9999993 0.9999993]
 [1.        1.        1.        ... 0.9999993 0.9999993 0.9999993]
 ...
 [1.        1.        1.        ... 1.        1.        1.       ]
 [1.        1.        1.        ... 1.        1.        1.       ]
 [1.        1.        1.        ... 1.        1.        1.       ]]"
0,36,0.9999369834085972,"[[0.9999245  0.9999248  0.99993205 ... 0.9999993  0.99999934 0.99999934]
 [0.99992436 0.99992454 0.99993163 ... 0.9999993  0.99999934 0.99999934]
 [0.9999277  0.99992794 0.9999346  ... 0.99999934 0.99999934 0.99999934]
 ...
 [1.         1.         1.         ... 0.99992895 0.9999277  0.9999276 ]
 [1.         1.         1.         ... 0.9999267  0.9999253  0.99992514]
 [1.         1.         1.         ... 0.99992645 0.9999251  0.9999249 ]]"
0,37,0.980004699631775,"[[0.9999998  0.9999998  0.9999998  ... 0.9994083  0.99943393 0.9994362 ]
 [0.9999998  0.9999998  0.9999998  ... 0.9994079  0.9994334  0.99943566]
 [0.9999998  0.9999998  0.9999998  ... 0.99944884 0.99947315 0.99947655]
 ...
 [1.         1.         1.         ... 0.999997   0.999997   0.9999969 ]
 [1.         1.         1.         ... 0.9999969  0.9999969  0.9999969 ]
 [1.         1.         1.         ... 0.9999969  0.9999969  0.9999969 ]]"
0,38,0.9645655896098126,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
0,39,0.8560681377849142,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
