Voltage,Current,Power
-0.3507874336537115,8.229345780171455,-2.886751086875345
-0.3507172135183933,8.229343755566632,-2.886172511037319
-0.3506467473767114,8.229341790375324,-2.8855919318463505
-0.3505758488563671,8.229339851389307,-2.8850078039283362
-0.3505041534650395,8.229337802152406,-2.8844170799212776
-0.3504320300196124,8.229335677507377,-2.8838228071817325
-0.3503593991036896,8.22933358019374,-2.8832243681804934
-0.35028664925656533,8.229331477321047,-2.8826249488123703
-0.35021304115249946,8.229329370276814,-2.8820184654102263
-0.3501390516113568,8.229327395113643,-2.881408889524448
-0.3500645661205102,8.229325280556614,-2.8807951838025967
-0.34998979416762355,8.229323163631584,-2.8801791201782745
-0.3499145164383073,8.229321045780106,-2.879558894349731
-0.34983888808834385,8.22931903008578,-2.8789358192094574
